,ID,Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
0,,1/29/24,Amdocs,Software Developer New Grad,"Alpharetta, GA","Job ID: 184313  Required Travel : No Travel  Managerial - No  Location: :USA-GA, Alpharetta, Rainwater Dr (AM)  Who are we?  At Amdocs, our purpose is to enrich lives and progress society. With our creativity and technology, we help make a better-connected world. Amdocs and its 31,000 employees serve the top-tier players in the communications and media industry, enabling next-generation experiences in 85 countries. Our cloud-native, open and dynamic portfolio of digital solutions, platforms, and services brings greater choice, faster time to market, and flexibility, to better meet the evolving needs of our customers as they drive growth, transform and take their business to the cloud. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4.58 billion in fiscal 2021. For more information, visit Amdocs at http://www.amdocs.com  We are Hiring New Grads Nationwide! Are you ready to launch your career?  Amdocs is dedicated to your success in your first professional role in a dynamic industry. Offering exposure to product training, industry knowledge, and personal mentorship while expanding your skills and knowledge.  About The Team  The SW test engineering team focuses mainly on test execution and hands-on validation and certification of the software readiness. In this team, you should gain and sustain knowledge of Amdocs products and business and operational environments as well as develop an in-depth understanding of testing methodology, tools and lifecycle.  Degrees we are looking for  Bachelor’s Degree in Computer Science, Information Systems, Software Engineering, Electrical Engineering, or a similar discipline.   Must be a recent or upcoming graduate with 0-2 years of work experience   Nice-to-have   0-2 years of technical experience through internships, work and/or school coursework Basic SQL knowledge Unix/Linux Commands Creative Thinker Team player and willing to support the Software Test team with projects as needed   Why you will love Amdocs   Amazing benefits including health, dental, vision, and life insurance. Unlimited vacation, 2 weeks sick time, 5 hours/month for volunteering, and parental leave. Well-being benefits that include clubs, goodies, gifts, health checks, employee assistance, etc. Access to the latest training in the industry both internally and externally. Great opportunity to work with our industry's most sophisticated technologies. Personal and professional growth opportunities within our dynamic, multicultural organization with a dedication to creating a diverse and inclusive workplace.   Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce",Entry level,Full-time,Engineering and Information Technology,Software Development,https://www.linkedin.com/jobs/view/software-developer-new-grad-at-amdocs-3813133984?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=wKWDQETm3SCcg3uMviEHEQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,,1/26/24,Symbotic,Front-End Software Engineer (New Grad),"Wilmington, MA","Who We Are  With its A.I.-powered robotic technology platform, Symbotic is changing the way consumer goods move through the supply chain. Intelligent software orchestrates advanced robots in a high-density, end-to-end system – reinventing warehouse automation for increased efficiency, speed and flexibility.  What we need:  We want to learn from you! Our teams at Symbotic value the early career talent that helps us solve critical issues in creative and innovative ways. That is why we are seeking a new grad from an accredited University for this opportunity. By joining Symbotic, New Grads will get to be a part of an established team to help work on solutions and problem solve on real projects. New grads will be exposed to extensive training and mentorship from our leaders while being encouraged to leverage their unique ideas and perspective.  Interested in starting your career with a leader in supply chain robotics? Continue reading to learn more about this unique opportunity!  What You’ll Do:   Develop real-time distributed software to orchestrate the induction of new inventory and order fulfillment to customers. Develop and enhance Front-End applications that span desktop, mobile and web technology stacks utilizing the following technologies: C# .NET, WPF, XAML, RabbitMQ, SQL, Angular. Improve the user experience by understanding end users’ headspace, workflow, and empowering them to diagnose, troubleshoot, and resolve issues more efficiently. Play a hands-on role as part of an engineering team that works to design, develop, review and test new functionality. Collaborate with User Experience design & research team who consistently communicate with end users to understand their needs. Collaborate with other development teams and product managers to breakdown requirements, design solutions and execute on new business requirements.   What You’ll Need:   Bachelor's (or higher) Degree in Computer Science, a related technical discipline, or related experience. Passion for improving end-user experience Object oriented design and programming concepts, C# or Java is preferred. Source code version control, unit testing, design and defect tracking tools. Self-motivated, with an ability to learn quickly and independently, and work in a dynamic agile environment with cross functional and remote teams. Excellent verbal and written communications skills.   About Symbotic  Symbotic is an automation technology leader reimagining the supply chain with its end-to-end, AI-powered robotic and software platform. Symbotic reinvents the warehouse as a strategic asset for the world’s largest retail, wholesale, and food & beverage companies. Applying next-gen technology, high-density storage and machine learning to solve today's complex distribution challenges, Symbotic enables companies to move goods with unmatched speed, agility, accuracy and efficiency. As the backbone of commerce the Symbotic platform transforms the flow of goods and the economics of supply chain for its customers. For more information, visit www.symbotic.com.  We are a community of innovators, collaborators and pioneers who embrace our differences, because we know unique perspectives make us stronger and smarter. Every perspective matters. We depend on the collective voices of our employees, customers and community to help guide us as we build a better place to work – for you and the world. That’s why we’re proud to be an equal opportunity employer.  We do not discriminate based on race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information.",Entry level,Full-time,Engineering and Information Technology,"Industrial Automation, Automation Machinery Manufacturing, and Software Development",https://www.linkedin.com/jobs/view/front-end-software-engineer-new-grad-at-symbotic-3811240973?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=0UShLv8CIi5Zh1InNQNP6w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,,1/29/24,OSI Engineering,Software Engineer QA (New Grad),"Mountain View, CA","Join an innovative consumer device company as a dynamic and driven Software Engineer specializing in QA. This role is ideal for recent graduates or individuals with a year of experience post-graduation. The candidate should be adaptable to working on both PC and Android platforms based on our evolving business needs. This position is perfect for someone looking to grow their career in Android and PC software testing.  Responsibilities:  Understand and analyze project requirements to develop effective test cases. Execute end-to-end testing processes, ensuring thorough coverage. Collaborate with development teams to identify and resolve issues. Stay updated with the latest trends in PC and Android platforms. Work towards continuous improvement of the QA practices.  Qualifications:  Internship experience or up to one year of professional experience in a related field. Master’s degree in Computer Science or related field. Strong foundational knowledge in software engineering. Proficient and working experience in Java with a good understanding of C++ and Python. Interest and ability to work on both PC and Android platforms. Excellent problem-solving and analytical skills. Strong communication and teamwork abilities.  Bonus Skillset:  Prior experience working in an R&D environment. Previous experience/knowledge with cyber security.     Type: Contract  Location: Mountain View, CA",Entry level,Contract,Engineering,Computers and Electronics Manufacturing,https://www.linkedin.com/jobs/view/software-engineer-qa-new-grad-at-osi-engineering-3813147554?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=Bevt0JFyJbuPWuFuBcXdpQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,,1/26/24,Western Digital,"New College Grad, Software Engineer, System Testing","Rochester, MN","Company Description  At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.  At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.  We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.  Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious moments? That’s us, too.  We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.  Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.  Job Description  Western Digital's System Integration Test (SIT) Lab in Rochester, MN, is on the lookout for an energetic and skilled System Engineer to become an integral part of our innovative team. Our lab is at the forefront of testing and perfecting Western Digital's comprehensive enterprise product line. This is a fantastic opportunity for recent college graduates to dive into a fast-paced, collaborative environment where your work directly impacts the quality and performance of our products.  What You'll Do  🌐 Ensure the compatibility of Western Digital storage drives with enterprise customer systems.  🤝 Work in tandem with development engineering and customer support teams to uphold and enhance product quality.  👩‍💻 Configure test systems, monitor and analyze a variety of logs to assess test outcomes.  🔍 Isolate, analyze, and document test failures, contributing to our continuous improvement efforts.  💻 Develop and refine test scripts and automation processes to streamline our operations.  Qualifications  🎓 A Bachelor’s degree in Computer Engineering, Electrical Engineering, or Computer Science graduating no later than May 2024  💡 Hands-on project experience with embedded systems, lab equipment, or platforms like FPGA, microcontrollers, Raspberry Pi, Arduino, etc.  👉 Right to work in the US without requiring Western Digital to commence or sponsor an immigration case in order to employ you at any point in the future required  🐍 Python Pro  🍮 Java or C/C++.  🐧 Experience with Linux.  📝 Excellent verbal and written communication skills.  🖖 Bonus Points If You Have  🗂️ Exposure to storage interface protocols (SATA, SAS, NVMe).  🖥️ Application-level programming skills (Java, C++, C#, etc.).  🖥️ Experience in installing and operating Windows and Linux server storage systems.  Additional Information  Western Digital is committed to providing equal opportunities to all applicants and employees and will not discriminate based on their race, color, ancestry, religion (including religious dress and grooming standards), sex (including pregnancy, childbirth or related medical conditions, breastfeeding or related medical conditions), gender (including a person’s gender identity, gender expression, and gender-related appearance and behavior, whether or not stereotypically associated with the person’s assigned sex at birth), age, national origin, sexual orientation, medical condition, marital status (including domestic partnership status), physical disability, mental disability, medical condition, genetic information, protected medical and family care leave, Civil Air Patrol status, military and veteran status, or other legally protected characteristics. We also prohibit harassment of any individual on any of the characteristics listed above. Our non-discrimination policy applies to all aspects of employment. We comply with the laws and regulations set forth in the Equal Employment Opportunity is the Law poster.  Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.  Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at staffingsupport@wdc.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.  Compensation & Benefits Details   An employee’s pay position within the salary range may be based on several factors including but not limited to (1) relevant education; qualifications; certifications; and experience; (2) skills, ability, knowledge of the job; (3) performance, contribution and results; (4) geographic location; (5) shift; (6) internal and external equity; and (7) business and organizational needs. The salary range is what we believe to be the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range and this range is only applicable for jobs to be performed in California, Colorado, New York or remote jobs that can be performed in California, Colorado and New York. This range may be modified in the future. You will be eligible to participate in Western Digital’s Short-Term Incentive (STI) Plan, which provides incentive awards based on Company and individual performance. Depending on your role and your performance, you may be eligible to participate in our annual Long-Term Incentive (LTI) program, which consists of restricted stock units (RSUs) or cash equivalents, pursuant to the terms of the LTI plan. Please note that not all roles are eligible to participate in the LTI program, and not all roles are eligible for equity under the LTI plan. RSU awards are also available to eligible new hires, subject to Western Digital’s Standard Terms and Conditions for Restricted Stock Unit Awards. We offer a comprehensive package of benefits including paid vacation time; paid sick leave; medical/dental/vision insurance; life, accident and disability insurance; tax-advantaged flexible spending and health savings accounts; employee assistance program; other voluntary benefit programs such as supplemental life and AD&D, legal plan, pet insurance, critical illness, accident and hospital indemnity; tuition reimbursement; transit; the Applause Program, employee stock purchase plan, and the Western Digital Savings 401(k) Plan. Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.  ",Entry level,Full-time,Engineering,"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Computers and Electronics Manufacturing",https://www.linkedin.com/jobs/view/new-college-grad-software-engineer-system-testing-at-western-digital-3815178621?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=YEl%2FTsZ8peH76R%2FdENVPYg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,,1/27/24,Hillman Grad,Administrative Assistant,"Los Angeles, CA","POSITION OVERVIEW  Title: Administrative Assistant  Company: Hillman Grad  Reports to: Senior Vice President of Operations  Location: Los Angeles, California  Flexibility: Hybrid, in office 2-3 days/week     ABOUT HILLMAN GRAD  Hillman Grad is a full service media and production company founded by Emmy® Award-winning writer, producer, and actor, Lena Waithe, and led by CEO, Rishi Rajani. Our mission is to empower underrepresented artists and amplify the stories of diverse, historically marginalized communities across all industries.     POSITION SUMMARY  Hillman Grad is seeking an experienced and highly organized Administrative Assistant to support the Senior Vice President of Operations. The desired candidate must have strong organizational and communication skills with the ability to balance an array of administrative tasks and projects. The candidate must demonstrate a proactive approach toward managing the Senior Vice President’s various responsibilities and scheduling commitments.      RESPONSIBILITIES  Manage and maintain the SVP’s calendar strategically and effectively; schedule and confirm appointments; book reservations for off-site meetings or events Adequately research and prepare meeting materials to accompany all meetings and events Draft correspondence, agenda items, reports, presentations, and other documents in collaboration with the SVP Accompany the SVP to meetings; record meeting notes and execute the appropriate follow-up as necessary Answer incoming phone calls and connect SVP to meetings Arrange travel accommodations, including flights, hotel, ground transportation and other related logistics Manage and reconcile the SVP’s expense reports and receipts Manage the Hillman Grad office and serve as primary liaison to studio contacts; greet office visitors and clients Place orders and maintain inventory for office and kitchen supplies Handle incoming packages and mail Manage the logistics for Hillman Grad monthly company meetings, including email communication, space reservation, food and beverage, and other related materials Oversee and regularly update company calendar Maintain inventory of company hardware and software Manage special requests and related duties including running errands for the SVP as needed Assist with coordinating company retreats and executive leadership meetings Create and maintain written procedures for all administrative tasks     QUALIFICATIONS  Bachelor's degree or applicable industry experience in lieu of degree 3+ years as an administrative or executive assistant preferably supporting senior (VP or C-level) executives Experience with heavy calendar management, scheduling, and meeting coordination Experience with Google Workspace; strong proficiency in sheets, docs, and slides Working knowledge of project management software (Asana, Airtable, Notion, etc.) Highly organized and detail oriented with the ability to work independently and collaboratively Strong critical thinking and problem solving abilities Strong interpersonal, verbal and written communication skills Ability to thrive in a fast paced environment, think creatively, and produce innovative solutions Demonstrated ability to work successfully in an entrepreneurial, small company environment Flexible team player who is highly adaptable to change and does not shy away from new challenges Maintain a high level of discretion and confidentiality in all business and personal matters Ability to work some nights and weekends     Equal Opportunity Employer  Hillman Grad values a diverse workforce and provides equal employment opportunities for all applicants and employees. We celebrate all applicants’ and employees’ unique differences because it drives curiosity, innovation, and the success of our storytelling. All qualified applicants for employment will be considered without regard to an individual’s race, color, sex, gender identity, gender expression, religion, age, national origin or ancestry, citizenship, physical or mental disability, medical condition, family care status, marital status, domestic partner status, sexual orientation, genetic information, military or veteran status, or any other basis protected by federal, state or local laws. Accommodations are available for applicants with disabilities.",Full-time,-1,-1,-1,https://www.linkedin.com/jobs/view/administrative-assistant-at-hillman-grad-3809035979?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=qrA8dNdGV6hk5Tjjf1LXdw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,,1/26/24,Cadence Design Systems,Software Engineer (New College Grad 2024),"Massachusetts, United States","At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.  Cadence is hiring new graduates to join our software R&D teams in San Jose, Austin, Burlington/Boston, and Pittsburgh. This is an amazing opportunity to work as a software engineer at a world leader in computational software. Our customers are the world’s most innovative companies, delivering extraordinary electronic products from chips to boards to complete systems for the most dynamic market applications including hyperscale computing, 5G communications, automotive, mobile, aerospace, consumer, industrial, and healthcare. As a software engineer, you will help design and develop some of the most complex software tools used by designers across multiple verticals. We use advanced math, computer science, graph theory and machine learning to turn design concepts into reality.  Responsibilities will include software development, debugging and fixing of software errors, implementing new features, along with writing and running tests.  Position Requirements   MS/BS in computer science, electrical engineering, computer engineering, or a similar major. Strong understanding of software data structures, algorithms, and proficiency in C or C++. Exposure to Cadence tools is a plus.   The annual salary range for California is $92,400 to $171,600. You may also be eligible to receive incentive compensation: bonus, equity, and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the salary range is a guideline and compensation may vary based on factors such as qualifications, skill level, competencies and work location. Our benefits programs include: paid vacation and paid holidays, 401(k) plan with employer match, employee stock purchase plan, a variety of medical, dental and vision plan options, and more.  We’re doing work that matters. Help us solve what others can’t.",Entry level,Full-time,Engineering and Information Technology,Software Development,https://www.linkedin.com/jobs/view/software-engineer-new-college-grad-2024-at-cadence-design-systems-3811249445?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=pivWXilzszQgX14YPTMsew%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,,1/27/24,Ramp,New Grad 2024 | Software Engineer | Backend,"New York, United States","About Ramp  Ramp is the ultimate platform for modern finance teams. Combining corporate cards with expense management, bill payments, vendor management, accounting automation and more, Ramp's all-in-one solution is designed to save businesses time and money, and free finance teams to do the best work of their lives. Our mission is to help build healthier businesses, and it’s working: over 15,000 businesses on Ramp to save an average 5% and close their books 8x faster.  Founded in 2019, Ramp powers the fastest-growing corporate card and bill payment platform in America, and enables tens of billions of dollars in purchases each year.  Ramp's investors include Founders Fund, Stripe, Citi, Goldman Sachs, Coatue Management, D1 Capital Partners, Redpoint Ventures, General Catalyst, and Thrive Capital, as well as over 100 angel investors who were founders or executives of leading companies. The Ramp team comprises talented leaders from leading financial services and fintech companies—Stripe, Affirm, Goldman Sachs, American Express, Mastercard, Visa, Capital One—as well as technology companies such as Meta, Uber, Netflix, Twitter, Dropbox, and Instacart. In 2023, Ramp was named Fast Company’s #1 Most Innovative Company in North America, LinkedIn’s #1 Top Startup in the U.S., a CNBC Disruptor, and a TIME100 Most Influential Company.  Check out our Engineering Blog for more on our tech stack, mission and values!  About The Role  Ramp is, at its core, an engineering company, and is on a mission to build the best engineering team in the US! We are looking for full stack and platform engineers who are excited to be part of our early story and help us build a diverse and vibrant tech community. We hire engineers with a broad set of technical skills, who are highly cross-functional, and eager to solve a wide range of engineering challenges. Our ideal candidate has a strong sense of ownership and enjoys owning projects from inception to scaling it in production. We value people who take pride in their work, and show an aptitude for learning quickly whether they’re familiar with our stack or not. As an early employee, you'll be working with a nimble team of committed and talented engineers and having a large, long-term impact on technical design and engineering culture.  What You’ll Do   Build performant and scalable platforms and services powering Ramp’s innovative products Contribute to Ramp’s financial products platform (Risk, Fraud, Treasury Management) and/or savings and web-app platform (Savings Insights, Receipt Matching) Work closely with product and business teams to understand customer feedback in order to constantly improve our product Help establish and influence engineering process, tools, and systems that will allow us to scale the code base, productivity, and the team   What You'll Need   Graduating with a B.S. (or higher) in Computer Science or a related technical field; this role is ideal for a candidate with an expected graduation date in or around May 2024 given the deferred start date in Summer/Fall 2024 Track record of shipping high quality products and features at scale Ability to turn business and product ideas into engineering solutions Desire to work in a fast-paced environment, continuously grow, and master your craft Alignment with Ramp’s core values of enabling businesses to grow more by spending less   Nice to Haves   Familiarity with or desire to learn our tech stack which includes, but not limited to: Flask (Python), Elixir, AWS, RabbitMQ, PostgreSQL Passion for, or curiosity to learn, financial technology   About Our Teams   Core Product helps customers centralize and control their corporate spend through Credit Cards, Travel Management, Reimbursements/Expense Management Risk and Authorizer builds real-time and offline systems for risk decisioning, transaction & spend authorization, and on-going risk/fraud mitigation Payments focuses on all off-card money movement at Ramp (including ACH, Wires, Swift, and vertically integrated products such as BillPay) Foundations owns critical frameworks and processes to increase the velocity of Ramp Engineers, while improving resiliency, and security Ramp's UI Platform are the stewards of the frontend codebase architecture and responsible for Ramp apps' usability   Compensation   The annual salary/OTE range for the target level for this role in NYC is $127,500-$150,000 + target equity + benefits (including medical, dental, vision, and 401(k)   Benefits (for U.S.-based full-time employees)   100% medical, dental & vision insurance coverage for you Partially covered for your dependents One Medical annual membership 401k (including employer match on contributions made while employed by Ramp) Flexible PTO Fertility HRA (up to $5,000 per year) WFH stipend to support your home office needs Wellness stipend Parental Leave Relocation support Pet insurance",Entry level,Full-time,Engineering and Information Technology,Financial Services,https://www.linkedin.com/jobs/view/new-grad-2024-software-engineer-backend-at-ramp-3786592680?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=kvP60QpKfD%2FJHvUpZFHmeA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,,1/27/24,Cadence Design Systems,Software Engineer (New College Grad 2024),"San Jose, CA",,-1,-1,-1,-1,https://www.linkedin.com/jobs/view/software-engineer-new-college-grad-2024-at-cadence-design-systems-3812054538?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=t5AppeEWiKTuwt9cjcf9rw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,,1/27/24,Cadence Design Systems,Software Engineer (New College Grad 2024),"Pittsburgh, PA","At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.  The Cadence Virtuoso platform powers all of the latest design innovations in consumer, mobile and enterprise electronics worldwide. We are looking for a passionate C++ software developer to join Virtuoso place and route infrastructure team and improve our place route foundation. We use advanced math, computer science, graph theory and machine learning to solve the routing problem. Many of our customers (top semiconductor companies), government research agencies and universities have partnered with us on this journey.  The position is open to new college grads (2024) with working experience in software development. Strong understanding of software data structures and algorithms, and proficiency in C/C++, are basic job requirements. Exposure to the Cadence Virtuoso environment is a plus.  Requirements   B.S. or M.S. in engineering, computer science or related field. Strong understanding of data structures, algorithms and databases. Proficiency in C++, gdb debugging and general software development skills   Nice To Have   Scripting language skills in one of: Lisp, Skill, Python, TCL Interest in analog or digital circuit design Experience with GUI frameworks, such as Qt. Exposure to SQL databases. Familiarity with Linux/Unix development. Exposure to build and version-control systems. Coursework in circuit analysis, signal processing, statistics. Exposure to the Cadence Virtuoso environment or other electronic design platforms.   The annual salary range for California is $92,400 to $171,600. You may also be eligible to receive incentive compensation: bonus, equity, and benefits. Sales positions generally offer a competitive On Target Earnings (OTE) incentive compensation structure. Please note that the salary range is a guideline and compensation may vary based on factors such as qualifications, skill level, competencies and work location. Our benefits programs include: paid vacation and paid holidays, 401(k) plan with employer match, employee stock purchase plan, a variety of medical, dental and vision plan options, and more.  We’re doing work that matters. Help us solve what others can’t.",Entry level,Full-time,Engineering and Information Technology,Software Development,https://www.linkedin.com/jobs/view/software-engineer-new-college-grad-2024-at-cadence-design-systems-3812054539?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=w5e3txgaxUhGt2Psi6SAug%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,,1/27/24,Western Digital,"New College Grad Engineer, Software Engineering (Firmware)","San Jose, CA","Salary Range: 90,000.00-121,000.00-152,000.00  Company Description  At Western Digital, our vision is to power global innovation and push the boundaries of technology to make what you thought was once impossible, possible.  At our core, Western Digital is a company of problem solvers. People achieve extraordinary things given the right technology. For decades, we’ve been doing just that. Our technology helped people put a man on the moon.  We are a key partner to some of the largest and highest growth organizations in the world. From energizing the most competitive gaming platforms, to enabling systems to make cities safer and cars smarter and more connected, to powering the data centers behind many of the world’s biggest companies and public cloud, Western Digital is fueling a brighter, smarter future.  Binge-watch any shows, use social media or shop online lately? You’ll find Western Digital supporting the storage infrastructure behind many of these platforms. And, that flash memory card that captures and preserves your most precious moments? That’s us, too.  We offer an expansive portfolio of technologies, storage devices and platforms for business and consumers alike. Our data-centric solutions are comprised of the Western Digital®, G-Technology™, SanDisk® and WD® brands.  Today’s exceptional challenges require your unique skills. It’s You & Western Digital. Together, we’re the next BIG thing in data.  Job Description  As a member of a talented and motivated team, you will have a leading role in the development of HDD servo write technology, opportunity to work and collaborate on unique and challenging problems that allow you to learn and grow in multiple disciplines.  In This Position You Will  👩‍💻 Design and develop self-servo write firmware, focusing on SoC/channel functional bring up and supporting firmware architecture and process algorithm. Responsibilities include:  🤝 Collaborate with team members to ensure the architecture is scalable across multiple generations of SoCs and abstracted from hardware specifics  ✅ Develop firmware features, data collection and analysis methods to support self-servo write manufacturing process  ⌘ Create robust firmware architecture and infrastructure to enable product and technology development with common code  🤩 Enhance and maintain the eco system around which the firmware architecture is based, including file systems, real time OS and open-source library utilization etc.  🌍 Support technology and product development in both the US and Asia  Qualifications  ✅ BS/MS in Electrical Engineering, Computer Engineering, or Computer Science  ✅ Good understanding of analog and digital circuits with experience with digital signal processing  ✅ Knowledge of MATLAB and ability to use firmware debug tools and lab equipment to design, analyze and troubleshoot  ✅ Working knowledge of C or C++  ✅ Working knowledge of object-oriented design concepts and practices  ✅ Experience with ARM processors, RTOS, assembly language  🦄:  🚗 🦾 Experience with servo control systems  🚗 🦾 Experience with open-source development and Lua scripting language  Additional Information  Western Digital is committed to providing equal opportunities to all applicants and employees and will not discriminate based on their race, color, ancestry, religion (including religious dress and grooming standards), sex (including pregnancy, childbirth or related medical conditions, breastfeeding or related medical conditions), gender (including a person’s gender identity, gender expression, and gender-related appearance and behavior, whether or not stereotypically associated with the person’s assigned sex at birth), age, national origin, sexual orientation, medical condition, marital status (including domestic partnership status), physical disability, mental disability, medical condition, genetic information, protected medical and family care leave, Civil Air Patrol status, military and veteran status, or other legally protected characteristics. We also prohibit harassment of any individual on any of the characteristics listed above. Our non-discrimination policy applies to all aspects of employment. We comply with the laws and regulations set forth in the ""Equal Employment Opportunity is the Law"" poster.  Western Digital thrives on the power and potential of diversity. As a global company, we believe the most effective way to embrace the diversity of our customers and communities is to mirror it from within. We believe the fusion of various perspectives results in the best outcomes for our employees, our company, our customers, and the world around us. We are committed to an inclusive environment where every individual can thrive through a sense of belonging, respect and contribution.  Western Digital is committed to offering opportunities to applicants with disabilities and ensuring all candidates can successfully navigate our careers website and our hiring process. Please contact us at Careers.Accommodations@WDC.com to advise us of your accommodation request. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.  Compensation & Benefits Details   An employee’s pay position within the salary range may be based on several factors including but not limited to (1) relevant education; qualifications; certifications; and experience; (2) skills, ability, knowledge of the job; (3) performance, contribution and results; (4) geographic location; (5) shift; (6) internal and external equity; and (7) business and organizational needs. The salary range is what we believe to be the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range and this range is only applicable for jobs to be performed in California, Colorado, New York or remote jobs that can be performed in California, Colorado and New York. This range may be modified in the future. You will be eligible to participate in Western Digital’s Short-Term Incentive (STI) Plan, which provides incentive awards based on Company and individual performance. Depending on your role and your performance, you may be eligible to participate in our annual Long-Term Incentive (LTI) program, which consists of restricted stock units (RSUs) or cash equivalents, pursuant to the terms of the LTI plan. Please note that not all roles are eligible to participate in the LTI program, and not all roles are eligible for equity under the LTI plan. RSU awards are also available to eligible new hires, subject to Western Digital’s Standard Terms and Conditions for Restricted Stock Unit Awards. We offer a comprehensive package of benefits including paid vacation time; paid sick leave; medical/dental/vision insurance; life, accident and disability insurance; tax-advantaged flexible spending and health savings accounts; employee assistance program; other voluntary benefit programs such as supplemental life and AD&D, legal plan, pet insurance, critical illness, accident and hospital indemnity; tuition reimbursement; transit; the Applause Program, employee stock purchase plan, and the Western Digital Savings 401(k) Plan. Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.  ",Entry level,Full-time,Engineering,"Computer Hardware Manufacturing, Semiconductor Manufacturing, and Computers and Electronics Manufacturing",https://www.linkedin.com/jobs/view/new-college-grad-engineer-software-engineering-firmware-at-western-digital-3815940180?refId=JIPHT3vU4M2QfTevqeBp3w%3D%3D&trackingId=Zig6BNeKUT6RthZEGZqPuA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
